;AT_Name;AT_DMG_1;AT_1_%;AT_DMG_2;AT_2_%;AT_DMG_3;AT_3_%;Berechnung 1;Berechnung 2;Berechnung 3;;;;Chakra;Naturenergie;Mana;Äther;Licht;Schatten;Aura;Zwielicht;Arceus;Triforce;Elras;Dimfr;Nahkampf;Kurz Distanz;Mittlere Distanz;Hohe Distanz;Fernkampf;Schusswaffen;CH;NE;MA;ÄT;LI;SCH;AUR;ZL;ARC;TRI;ELR;DIM;SchnW;StiW;StoW;WW;H2H;SchuW;DMG TOTAL;EN;Kategorie;;
2;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
2;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
2;Umkehr;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
2;Energiereaktor;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
2;Heldenhafte Heilung;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
2;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
2;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
2;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
2;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
2;Nullschuss;Mana;25%;0,00%;0%;0,00%;0%;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
2;Bodenwelle;Mana;40%;0,00%;0%;0,00%;0%;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
2;Verschiebung;Mana;40%;0,00%;0%;0,00%;0%;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
2;Aufrüttung;Mana;30%;0,00%;0%;0,00%;0%;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
2;Offenbarender Hagel;Mana;80%;0,00%;0%;0,00%;0%;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
3;Beschwörungslehren;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;
3;Beschwörerbund;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;
3;Ruin;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;
3;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
3;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
3;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
3;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
3;Beschwörungstor;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
3;Beschwörungsform;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
3;Heldenhafte Heilung;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
3;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
3;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
3;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
3;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
3;Beschwörungsschlag;Mana;120%;0,00%;0%;0,00%;0%;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
3;Flankierungsbefehl;Mana;140%;0,00%;0%;0,00%;0%;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
3;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
3;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
3;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
4;Nahkämpfer;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;
4;Runenkampf;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;
4;Gewebte Magie;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;P;;
4;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
4;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
4;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
4;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
4;Arkane Macht;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
4;Runengeneration;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
4;Heldenhafte Heilung;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;B;;
4;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
4;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
4;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
4;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
4;Runenhieb;Waffenkampf;75%;Mana;5%;0,00%;0%;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
4;Feuerblitz;Waffenkampf;60%;Mana;50%;0,00%;0%;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
4;Eissense;Waffenkampf;30%;Mana;30%;0,00%;0%;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
4;Arkaner Sprung;Waffenkampf;60%;Mana;30%;0,00%;0%;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
4;Tosende Magie;Waffenkampf;60%;Mana;100%;0,00%;0%;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;S;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
5;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
6;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
7;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
1;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
2;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
2;0;0;0%;0,00%;0%;0,00%;0%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0%;0;;
