Name;Form;;AT_Name;AT_Art;AT_Beschreibung;CD;BS_PB;AT_DMG_1;% AT 1;AT_DMG_2;% AT 2;AT_DMG_3;% AT 3;EN;Damage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;C02;Flankierungsbefehl;S;Ihr lässt euer Beschworenes Wesen an die Flanke eures Gegners gehen um ihn dort zu attackieren;6R;BS;Mana;140%;;;;;;19,00;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;C03;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;C04;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Beschwörer;C05;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Klasse_4;A1;Nahkämpfer;P;Wenn der Charakter vor dem Gegner steht eine Reaktion verwenden, um den Gegner zu kontern, wenn dieser Attackiert. Hinter dem Gegner darf KRIT um 1 erhöht werden.;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;A2;Runenkampf;P;Jeder zweite Eurer Angriffe generiert eine Rune, hierbei kann gewählt werden ob eine Arkan-, Feuer- oder Eisrune generiert wird. | Nachdem 3 Runen einer Art generiert wurden könnt ihr folgende Zauber verwenden: Feuer x3: Feuerblitz | Eis x3: Eissense | Arkan x3: Arkaner Sprung. Angriffe die spontan ausgelöst wurden verursachen 5 Schaden mehr.;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;A3;Gewebte Magie;P;Eure spontan ausgelösten Zauber hinterlassen eine schwellende Essenz des Elements. Ihr könnt diese Essenz dazu verwenden um einen Zauber zu augmentieren. | Feuer: Angriff trifft kritisch | Eis: Ihr erhaltet ein Schild für 20% des Schadens | Arkan: ihr könnt die Abklingzeit eines Zaubers um 2R senken;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;A4;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;A5;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;A6;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;A7;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;B1;Arkane Macht;B;Erhöht den verursachten Schaden um 3 für 2 Runden.;10R;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;B2;Runengeneration;B;Erlaubt es Euch 2 Runen einer Art zu generieren. Ihr verursacht diese Runde mit Angriffen dieser Runenart 5 Schaden mehr.;10R;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;B3;Heldenhafte Heilung;B;Ihr heilt euch um 30% eurer LE;10R;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;B4;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;B5;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;B6;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;B7;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;C01;Runenhieb;S;Ihr führt einen Hieb mit Eurer Haupthandwaffe durch;-;AT;Waffenkampf;75%;Mana;5%;;;;11,00;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;C02;Feuerblitz;S;Ihr schleudert einen schnellen Feuerblitz auf einen Gegner;3R;AT;Waffenkampf;60%;Mana;50%;;;;13,00;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;C03;Eissense;S;Ihr nutzt einen Eisigen Angriff der in einem RA1 Schaden an allen Gegner verursacht;3R;AT;Waffenkampf;30%;Mana;30%;;;;7,00;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;C04;Arkaner Sprung;S;Angriff der Euch 2 Felder überwinden lässt und Schaden verursacht;3R;AT;Waffenkampf;60%;Mana;30%;;;;11,00;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;C05;Tosende Magie;S;Ihr entfesselt Arkane, Feurige und Eisige Macht, ihr verursacht dabei Schaden und generiert 2 jeder Runenart;10R;AT;Waffenkampf;60%;Mana;100%;;;;18,00;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Klasse_5;A1;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;A2;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;A3;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;A4;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;A5;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;A6;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;A7;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;B1;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;B2;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;B3;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;B4;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;B5;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;B6;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;B7;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;C01;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;C02;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;C03;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;C04;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;C05;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Klasse_6;A1;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;A2;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;A3;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;A4;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;A5;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;A6;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;A7;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;B1;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;B2;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;B3;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;B4;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;B5;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;B6;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;B7;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;C01;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;C02;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;C03;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;C04;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;C05;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Klasse_7;A1;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;A2;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;A3;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;A4;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;A5;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;A6;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;A7;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;B1;;;;;;;;;;;;;0,00;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
